product,tier,substituted_for,product_total_gdp_usd,category,soc_major_group,trainability,pricing,os_platforms
Odoo Inventory,k1_economic,Square for Retail,4450593949.881863,['Inventory Management'],"['Production', 'Sales and Related', 'Personal Care and Service', 'Business and Financial Operations', 'Building and Grounds Cleaning and Maintenance']",self_hostable,freemium,"Android, Linux, Web, Windows, iOS, macOS"
Odoo CRM,k1_economic,Microsoft Dynamics 365 Sales,3803237092.328285,['CRM'],"['Sales and Related', 'Business and Financial Operations', 'Building and Grounds Cleaning and Maintenance', 'Management', 'Office and Administrative Support']",self_hostable,freemium,"Android, Linux, Web, Windows, iOS, macOS"
LibreOffice Base,k1_economic,Microsoft Access,3409002689.570732,"['Database Client', 'Database System']","['Educational Instruction and Library', 'Business and Financial Operations', 'Transportation and Material Moving', 'Farming, Fishing, and Forestry', 'Office and Administrative Support']",sandbox_ready,free,"Linux, Windows, macOS"
Redmine,k1_economic,Jira Data Center,3263457924.0286517,"['Incident Tracking', 'Project management', 'Issue Tracking']","['Computer and Mathematical', 'Architecture and Engineering', 'Installation, Maintenance, and Repair']",self_hostable,free,"Linux, Unix, Web, Windows, macOS"
OpenEMR,k1_economic,athenaOne,2673714670.6759915,"['Medical scheduling software', 'EHR/EMR', 'Practice Management', 'Billing and insurance', 'Billing']","['Computer and Mathematical', 'Healthcare Practitioners and Technical', 'Management', 'Life, Physical, and Social Science', 'Community and Social Service']",self_hostable,free,"Linux, Web, Windows, macOS"
Vtiger CRM,k1_economic,HubSpot CRM,2259642076.685649,['CRM'],"['Sales and Related', 'Business and Financial Operations', 'Building and Grounds Cleaning and Maintenance', 'Management', 'Office and Administrative Support']",self_hostable,freemium,"Android, Linux, Web, Windows, iOS"
LibreOffice,k1_economic,Microsoft 365,1993138729.5144956,['Office Productivity'],"['Business and Financial Operations', 'Healthcare Practitioners and Technical']",sandbox_ready,free,"Linux, Windows, macOS"
Mattermost,k1_economic,Slack,1917139404.2044551,"['Communication software', 'Email and communication', 'Communication & Collaboration', 'Collaboration software', 'Instant Messaging']","['Computer and Mathematical', 'Management']",self_hostable,freemium,"Android, Linux, Windows, iOS, macOS"
Odoo Point of Sale,k1_economic,Clover,1915614590.4006083,['POS'],"['Production', 'Sales and Related']",self_hostable,freemium,"Android, Linux, Windows, iOS"
SuiteCRM,k1_economic,Salesforce Sales Cloud,1486723393.5327792,['CRM'],"['Office and Administrative Support', 'Sales and Related']",self_hostable,free,"Linux, Web, Windows, macOS"
ERPNext,k1_economic,Oracle NetSuite,1346895840.270465,"['ERP', 'Order Management', 'Procurement software', 'CRM', 'Order entry software']","['Production', 'Business and Financial Operations', 'Transportation and Material Moving', 'Management', 'Office and Administrative Support']",self_hostable,free,"Android, Linux, Web, iOS, macOS"
WPS Presentation,k1_economic,Google Slides,1232402555.913616,['Presentation'],"['Computer and Mathematical', 'Educational Instruction and Library', 'Sales and Related', 'Management', 'Life, Physical, and Social Science']",sandbox_ready,freemium,"Android, Linux, Windows, iOS, macOS"
Zotero,k1_economic,EndNote,1148898647.6635628,"['Metadata management tools', 'Reference management', 'Bibliographic Management', 'Medical Research']","['Educational Instruction and Library', 'Life, Physical, and Social Science']",sandbox_ready,freemium,"Linux, Windows, iOS, macOS"
Rocket.Chat,k1_economic,Microsoft Teams,958569702.1022276,"['Communication software', 'Email and communication', 'Communication & Collaboration', 'Collaboration software', 'Instant Messaging']","['Computer and Mathematical', 'Management']",self_hostable,freemium,"Android, Linux, Windows, iOS, macOS"
Odoo Community,k1_economic,Microsoft Dynamics 365 Business Central,958423695.354652,"['Invoicing and billing software', 'Accounting']","['Business and Financial Operations', 'Office and Administrative Support']",self_hostable,free,"Linux, Windows"
Dolibarr,k1_economic,Lightspeed Retail,897930560.1803099,"['ERP', 'Order Management', 'Inventory and Logistics', 'Invoicing and billing software', 'Invoicing']","['Production', 'Business and Financial Operations', 'Transportation and Material Moving', 'Management', 'Office and Administrative Support']",self_hostable,free,"Linux, Web, Windows, macOS"
LogicalDOC,k1_economic,Laserfiche,877234785.8800924,['Information Management'],"['Computer and Mathematical', 'Architecture and Engineering', 'Office and Administrative Support']",self_hostable,freemium,"Android, Linux, Windows, iOS, macOS"
Chromis POS,k1_economic,Toast POS,754967558.1433008,"['POS', 'Order entry software']",['Sales and Related'],sandbox_ready,free,"Linux, Windows, macOS"
Manager,k1_economic,QuickBooks Desktop,711625249.3049357,"['Invoicing', 'Accounting', 'Budgeting', 'Invoicing and billing software', 'HR and Payroll']","['Production', 'Sales and Related', 'Personal Care and Service', 'Business and Financial Operations', 'Food Preparation and Serving Related']",sandbox_ready,freemium,"Linux, Windows, macOS"
uniCenta oPOS,k1_economic,NCR Aloha,696934213.3050212,['POS'],"['Production', 'Sales and Related']",sandbox_ready,freemium,"Linux, Windows, macOS"
Floreant POS,k1_economic,Oracle MICROS Simphony,638413238.1093217,"['POS', 'Order entry software']","['Sales and Related', 'Food Preparation and Serving Related']",sandbox_ready,free,"Linux, Windows, macOS"
Nuxeo Platform,k1_economic,Microsoft SharePoint,636352303.0968003,"['Information Management', 'Digital asset management']","['Computer and Mathematical', 'Educational Instruction and Library', 'Office and Administrative Support']",self_hostable,freemium,"Linux, Windows, macOS"
xTuple,k1_economic,Fishbowl Inventory,585998469.3729702,"['ERP', 'Production Scheduling']","['Production', 'Business and Financial Operations', 'Office and Administrative Support', 'Management']",self_hostable,freemium,"Linux, Windows, macOS"
WPS Office,k1_economic,Apple Pages,497966760.58412474,['Office Productivity'],['Business and Financial Operations'],sandbox_ready,freemium,"Android, Linux, Windows, iOS, macOS"
Eclipse,k1_economic,eClinicalWorks,470810388.2313099,"['Medical scheduling software', 'Radiation Treatment Planning', 'Veterinary practice management', 'Practice Management', 'Medical Billing & Coding']",['Healthcare Practitioners and Technical'],sandbox_ready,free,Windows
Anaconda,k1_economic,R,425527301.0216352,"['Scientific Computing', 'Math & Analysis', 'Coding Tools', 'Data Analysis', 'Programming & Automation']","['Computer and Mathematical', 'Architecture and Engineering', 'Educational Instruction and Library', 'Business and Financial Operations', 'Life, Physical, and Social Science']",sandbox_ready,freemium,"Linux, Windows, macOS"
OpenKM,k1_economic,Microsoft SharePoint Server,320099702.4644756,['Information Management'],"['Computer and Mathematical', 'Office and Administrative Support']",self_hostable,freemium,"Android, Linux, Windows, iOS, macOS"
Express Accounts,k1_economic,QuickBooks Online,280913452.0552884,['Accounting'],"['Business and Financial Operations', 'Office and Administrative Support', 'Management', 'Installation, Maintenance, and Repair']",sandbox_ready,freemium,"Windows, macOS"
TurboCASH,k1_economic,Sage 50,269178286.98613816,"['Invoicing and billing software', 'Payroll and accounting', 'Accounting']","['Business and Financial Operations', 'Management']",sandbox_ready,freemium,Windows
JASP,k1_economic,IBM SPSS Statistics,260469855.55127555,"['Data Analysis', 'Statistical', 'Statistical Analysis']","['Computer and Mathematical', 'Educational Instruction and Library', 'Life, Physical, and Social Science']",sandbox_ready,free,"Linux, Windows, macOS"
Casebox,k1_economic,iManage Work,253002080.50585985,['Information Management'],['Computer and Mathematical'],self_hostable,free,"Linux, Web"
Wondershare EdrawMax,k1_economic,Microsoft Visio,249998871.84195676,['Diagramming'],['Computer and Mathematical'],sandbox_ready,freemium,"Android, Linux, Windows, iOS, macOS"
Metasfresh,k1_economic,Oracle E-Business Suite,223880228.52667308,"['Procurement software', 'ERP', 'Order Management']","['Production', 'Business and Financial Operations', 'Transportation and Material Moving', 'Management', 'Office and Administrative Support']",self_hostable,freemium,"Android, Linux, Web, iOS"
Axelor,k1_economic,SAP Customer Experience,223880228.52667308,"['CRM', 'ERP']","['Production', 'Business and Financial Operations', 'Transportation and Material Moving', 'Management', 'Office and Administrative Support']",self_hostable,freemium,"Android, Linux, Windows, iOS, macOS"
iDempiere,k1_economic,SAP S/4HANA,223880228.52667308,['ERP'],"['Production', 'Business and Financial Operations', 'Transportation and Material Moving', 'Management', 'Office and Administrative Support']",self_hostable,free,"Linux, Windows, macOS"
ProjectLibre,k1_economic,Oracle Primavera P6,189424992.1687877,"['Scheduling software', 'Project management']",['Management'],sandbox_ready,free,"Linux, Windows, macOS"
Jitsi Meet,k1_economic,Zoom,126707847.18426348,"['Communication & Collaboration', 'Conferencing', 'Collaboration software']","['Management', 'Arts, Design, Entertainment, Sports, and Media', 'Personal Care and Service']",self_hostable,free,"Android, Linux, Windows, iOS, macOS"
EspoCRM,k1_economic,Zoho CRM,113327906.076753,['CRM'],"['Office and Administrative Support', 'Sales and Related']",self_hostable,freemium,"Linux, Web, Windows, macOS"
FreeCAD,k1_economic,SolidWorks,106348191.52942546,"['CAD', 'CAD/CAM', 'Computer Aided Design (CAD)']","['Architecture and Engineering', 'Arts, Design, Entertainment, Sports, and Media']",sandbox_ready,free,"Linux, Windows, macOS"
openSIS,k1_economic,PowerSchool SIS,90708384.68875892,['Student information systems'],['Management'],self_hostable,freemium,"Android, Linux, Web, Windows, iOS"
LibreCAD,k1_economic,AutoCAD,83577655.74497335,"['CAD', 'CAD/CAM', 'Computer Aided Design (CAD)']","['Computer and Mathematical', 'Architecture and Engineering', 'Arts, Design, Entertainment, Sports, and Media', 'Installation, Maintenance, and Repair', 'Construction and Extraction']",sandbox_ready,free,"Linux, Windows, macOS"
Copper Point of Sale,k1_economic,Square Point of Sale,83429892.85282929,"['POS', 'Order entry software']","['Healthcare Support', 'Sales and Related']",sandbox_ready,freemium,"Windows, macOS"
Gretl,k1_economic,Bloomberg Terminal,46846598.26293303,"['Mathematical computing', 'Scientific Computing', 'Statistical Analysis', 'Mathematics', 'Data Analysis']",['Educational Instruction and Library'],sandbox_ready,free,"Linux, Windows, macOS"
Superset,k1_economic,SimplePractice,12885168.469255395,['Client Management'],['Personal Care and Service'],self_hostable,free,"Android, Web, iOS"
GCompris,k1_economic,Google Classroom,4883757.22015177,['Education'],['Personal Care and Service'],sandbox_ready,free,"Android, Linux, Windows, macOS"
2BizBox,k1_economic,Epicor Kinetic,4426087.012196879,['ERP'],['Production'],self_hostable,free,"Linux, Windows, macOS"
YetiForce,k1_economic,Oracle Siebel CRM,2460368.255677722,['CRM'],['Office and Administrative Support'],self_hostable,free,"Linux, Web, Windows"
HospitalRun,k1_economic,Veradigm Sunrise,,"['Medical scheduling software', 'EHR/EMR', 'Practice Management']",[],self_hostable,free,"Linux, Windows, macOS"
MedinTux,k1_economic,Cerner Millennium,,"['EHR/EMR', 'Practice Management']",[],self_hostable,free,"Linux, Windows, macOS"
NOSH ChartingSystem,k1_economic,DrChrono,,['EHR/EMR'],[],self_hostable,free,Linux
FrontAccounting,k1_economic,Xero,,['Accounting'],[],self_hostable,free,"Linux, Windows, macOS"
ONLYOFFICE Spreadsheet Editor,k1_economic,Google Sheets,,['Spreadsheet'],[],sandbox_ready,free,"Android, Linux, Windows, iOS, macOS"
Liverpool Cancer iChart,k1_economic,UpToDate,,['Drug Reference'],[],sandbox_ready,free,"Android, iOS"
NOSH Charting System,k1_economic,EMA,,['EHR/EMR'],[],self_hostable,free,Linux
Tcl/Tk,k1_economic,Python,,['Programming & Automation'],[],sandbox_ready,free,"Linux, Windows, macOS"
Bahmni,k1_economic,MEDITECH Expanse,,"['Medical scheduling software', 'Billing and insurance', 'EHR/EMR', 'Practice Management']",[],self_hostable,free,Linux
OpenClinic GA,k1_economic,MatrixCare,,"['Medical scheduling software', 'EHR/EMR', 'Practice Management']",[],self_hostable,free,"Linux, Windows, macOS"
Nextcloud Talk,k1_economic,Cisco Webex,,['Collaboration software'],[],self_hostable,free,"Android, Linux, Windows, iOS, macOS"
OpenMRS,k1_economic,Epic,,"['Medical scheduling software', 'EHR/EMR']",[],self_hostable,free,"Linux, Windows, macOS"
OSCAR EMR,k1_economic,PointClickCare,,"['Billing and insurance', 'EHR/EMR', 'Practice Management']",[],self_hostable,free,"Linux, Web"
VitalRecorder,k1_economic,IntelliSpace Critical Care and Anesthesia,,['Medical device interfaces'],[],sandbox_ready,free,Windows
JStock,k1_economic,S&P Capital IQ,,"['Portfolio management software', 'Financial analysis software']",[],sandbox_ready,free,"Linux, Windows, macOS"
OpenLawOffice,k1_economic,Legal Files,,['Case Management'],[],self_hostable,free,"Linux, Web, Windows"
GoodKeywords,k1_economic,Google Ads,,['SEM'],[],sandbox_ready,free,Windows
Oscar EMR,k1_economic,NextGen Enterprise EHR,,['EHR/EMR'],[],self_hostable,free,"Linux, Web"
FreeMED,k1_economic,CPRS,,"['Medical scheduling software', 'EHR/EMR']",[],self_hostable,free,Linux
LibreHealth EHR,k1_economic,AdvancedMD,,['EHR/EMR'],[],self_hostable,free,"Linux, Web, Windows"
GNU Health,k1_economic,Sunrise EHR,,"['Medical scheduling software', 'ERP', 'EHR/EMR', 'Practice Management', 'Billing and insurance']",[],self_hostable,free,"Linux, Windows, macOS"
Odoo Mobile,k1_economic,Shopify POS,,['Order entry software'],[],self_hostable,freemium,"Android, iOS"
Lunacy,k1_economic,Canva,,"['Graphic Design', 'UX/UI Prototyping', 'Vector Graphics']",[],sandbox_ready,free,"Linux, Windows, macOS"
Liverpool HIV iChart,k1_economic,Lexicomp,,['Drug Reference'],[],sandbox_ready,free,"Android, iOS"
Portfolio Performance,k1_economic,FactSet Workstation,,"['Portfolio management software', 'Financial analysis software']",[],sandbox_ready,free,"Linux, Windows, macOS"
DreamPlan Home Design Software,k1_economic,Civil 3D,,['CAD'],[],sandbox_ready,freemium,"Android, Windows, macOS"
ManageEngine ServiceDesk Plus,k2_1_strategic,ESO Suite,11770816447.098991,"['IT Service Management', 'Incident reporting software', 'Incident Tracking', 'Issue Tracking']","['Computer and Mathematical', 'Office and Administrative Support', 'Management', 'Installation, Maintenance, and Repair']",self_hostable,freemium,"Android, Linux, Web, Windows, iOS"
Moodle,k2_1_strategic,Schoology,11462289394.558388,['LMS'],"['Educational Instruction and Library', 'Healthcare Practitioners and Technical', 'Personal Care and Service', 'Business and Financial Operations', 'Protective Service']",self_hostable,free,"Android, Linux, Windows, iOS, macOS"
Medicare Remit Easy Print,k2_1_strategic,,3947796296.963346,['Insurance processing'],['Healthcare Practitioners and Technical'],sandbox_ready,free,Windows
Weasis,k2_1_strategic,OsiriX MD,3894488472.442071,"['Medical imaging', 'Medical Imaging']","['Educational Instruction and Library', 'Healthcare Support', 'Healthcare Practitioners and Technical']",sandbox_ready,free,"Linux, Windows, macOS"
Stock and Inventory Simple,k2_1_strategic,Sortly,3887664332.737089,['Inventory Management'],"['Production', 'Sales and Related', 'Personal Care and Service', 'Building and Grounds Cleaning and Maintenance', 'Transportation and Material Moving']",sandbox_ready,freemium,Android
Wazuh,k2_1_strategic,Comply365,3446358519.363499,"['Security Management', 'SIEM', 'Compliance', 'Security Information Management', 'Auditing']","['Computer and Mathematical', 'Business and Financial Operations']",self_hostable,freemium,"Linux, Windows, macOS"
DaVinci Resolve,k2_1_strategic,Adobe Premiere Pro,2493749444.3300433,"['Color Grading', 'Photo and Video Editing', 'Video Editing']","['Educational Instruction and Library', 'Personal Care and Service', 'Business and Financial Operations', 'Protective Service', 'Arts, Design, Entertainment, Sports, and Media']",sandbox_ready,freemium,"Linux, Windows, macOS"
Nx Witness VMS,k2_1_strategic,Milestone XProtect,2364463031.903309,['Video Management'],"['Business and Financial Operations', 'Protective Service', 'Management']",self_hostable,freemium,"Android, Linux, Windows, iOS, macOS"
GeoSetter,k2_1_strategic,,2260124213.2243896,"['GPS and Survey Data Tools', 'Metadata management tools', 'Photo Management', 'Photo Management & Editing']","['Business and Financial Operations', 'Transportation and Material Moving', 'Life, Physical, and Social Science']",sandbox_ready,free,Windows
GLPI,k2_1_strategic,ImageTrend Elite,1604604734.8370724,"['IT Service Management', 'Incident Tracking', 'Asset Management', 'Incident reporting software', 'Issue Tracking']","['Computer and Mathematical', 'Installation, Maintenance, and Repair']",self_hostable,free,"Linux, Web, Windows"
LimeSurvey,k2_1_strategic,Qualtrics XM App,1518537678.2975862,"['Survey', 'Survey Creation', 'Survey Design', 'Survey Tools']","['Business and Financial Operations', 'Educational Instruction and Library', 'Office and Administrative Support', 'Life, Physical, and Social Science']",self_hostable,free,"Android, Linux, Windows, macOS"
ArkCase,k2_1_strategic,Spillman Flex,1465739176.6706505,['Case Management'],"['Community and Social Service', 'Legal']",self_hostable,free,"Linux, Windows"
Odoo POS,k2_1_strategic,NCR Counterpoint,1384806238.046068,['POS'],"['Production', 'Sales and Related', 'Transportation and Material Moving', 'Food Preparation and Serving Related', 'Management']",self_hostable,freemium,"Android, Linux, Windows, iOS, macOS"
SORMAS,k2_1_strategic,NEDSS Base System,1226628904.4504366,['Public health surveillance systems'],['Healthcare Practitioners and Technical'],self_hostable,free,"Android, Linux, Web"
MuseScore,k2_1_strategic,,1223579313.626064,"['Music notation', 'Subject-Specific Software']","['Educational Instruction and Library', 'Healthcare Practitioners and Technical', 'Arts, Design, Entertainment, Sports, and Media']",sandbox_ready,free,"Linux, Windows, macOS"
Inkscape,k2_1_strategic,Adobe Illustrator,1207779702.790501,"['Graphics Software', 'Graphic Design', 'Vector Graphics']","['Computer and Mathematical', 'Educational Instruction and Library', 'Production', 'Architecture and Engineering', 'Arts, Design, Entertainment, Sports, and Media']",sandbox_ready,free,"Linux, Windows, macOS"
OrangeHRM,k2_1_strategic,UKG Pro,1091260667.9672935,"['HR and Payroll', 'HR Management']","['Business and Financial Operations', 'Office and Administrative Support', 'Management', 'Personal Care and Service']",self_hostable,freemium,"Linux, Web, Windows, macOS"
Luxriot Evo,k2_1_strategic,Dallmeier SeMSy,992747069.305648,"['Surveillance', 'Video Management']","['Business and Financial Operations', 'Protective Service', 'Management']",self_hostable,free,"Android, Windows, iOS, macOS"
Sakai,k2_1_strategic,Blackboard Learn,951989727.912008,['LMS'],"['Educational Instruction and Library', 'Management']",self_hostable,free,"Linux, Windows, macOS"
GIMP,k2_1_strategic,Adobe Photoshop,843295811.3457451,"['Photo Editing', 'Graphic Design', 'Photo and Video Editing', 'Graphics Software', 'Photo Management & Editing']","['Computer and Mathematical', 'Educational Instruction and Library', 'Architecture and Engineering', 'Production', 'Healthcare Practitioners and Technical']",sandbox_ready,free,"Linux, Windows, macOS"
ActivePresenter,k2_1_strategic,Articulate Storyline,777584567.7999299,"['Presentation', 'E-learning authoring tools']","['Business and Financial Operations', 'Educational Instruction and Library', 'Management']",sandbox_ready,freemium,"Windows, macOS"
Request Tracker,k2_1_strategic,New World Public Safety,753514354.4310501,"['Incident reporting software', 'Issue Tracking']","['Computer and Mathematical', 'Installation, Maintenance, and Repair']",self_hostable,free,"Linux, Unix, Web"
Fedena,k2_1_strategic,Frontline Education,725667077.5100708,"['Student information systems', 'HR Management']",['Management'],self_hostable,freemium,"Linux, Web, Windows"
osTicket,k2_1_strategic,TrackTik,692649854.022941,"['Incident reporting software', 'Incident Tracking', 'Issue Tracking']","['Computer and Mathematical', 'Installation, Maintenance, and Repair']",self_hostable,free,"Linux, Web, Windows"
Zulip,k2_1_strategic,ClassDojo,564671499.7906107,"['Communication & Collaboration', 'Communication software', 'Collaboration software']",['Computer and Mathematical'],self_hostable,freemium,"Android, Linux, Windows, iOS, macOS"
Open edX,k2_1_strategic,D2L Brightspace,493785614.4275154,['LMS'],"['Business and Financial Operations', 'Educational Instruction and Library', 'Management']",self_hostable,free,"Android, Linux, iOS"
LFS,k2_1_strategic,Manhattan Active Warehouse Management,449649971.9333427,['Warehouse management systems'],"['Transportation and Material Moving', 'Management']",sandbox_ready,freemium,"Android, Linux, Windows, iOS"
TimeTrex,k2_1_strategic,UKG TeleStaff,429795834.8041704,"['Time and attendance', 'Scheduling software', 'HR Management']","['Business and Financial Operations', 'Production', 'Office and Administrative Support', 'Personal Care and Service']",self_hostable,freemium,"Linux, Windows, macOS"
Canary Mail,k2_1_strategic,OhMD,418355071.3571341,"['Email and communication', 'Email software']","['Sales and Related', 'Arts, Design, Entertainment, Sports, and Media', 'Management', 'Installation, Maintenance, and Repair', 'Office and Administrative Support']",sandbox_ready,freemium,"Android, Windows, iOS, macOS"
TheHive,k2_1_strategic,Omnigo Software,400528604.7221672,"['Incident reporting software', 'Incident Tracking']",['Management'],self_hostable,free,"Linux, Web"
2N Access Commander,k2_1_strategic,Genetec Security Center,392385971.19022745,['Access control'],"['Business and Financial Operations', 'Installation, Maintenance, and Repair']",self_hostable,freemium,"Linux, Windows, macOS"
Sygic GPS Navigation,k2_1_strategic,Trucker Path,254970569.08320177,['Navigation'],"['Office and Administrative Support', 'Construction and Extraction', 'Transportation and Material Moving', 'Personal Care and Service']",sandbox_ready,freemium,"Android, iOS"
Crimson,k2_1_strategic,FactoryTalk View,218079390.15229517,"['Equipment Control Interfaces', 'HMI software', 'Industrial control software', 'Industrial Control Systems']","['Production', 'Transportation and Material Moving']",sandbox_ready,free,Windows
